,100000,"0,000008",40187,0.016356258
,1000,0.0005,211,9.4958E-5
,1000,0.0007,367,8.6844E-5
,50000,1.4e-05,17629,0.006469384
,40000,2.5e-06,1944,0.001094566
,5000,"0,00006",723,2.55717E-4
,40000,"0,00001",8023,0.002459818
,30000,1.66666666667e-05,7483,0.002082102
,100000,"0,000007",34833,0.016549021
,30000,"0,00003",13561,0.003401899
,5000,0.00014,1696,3.23289E-4
,40000,1.5e-05,11870,0.003858185
,100000,"0,000001",5065,0.002661601
,40000,1.75e-05,14021,0.003814382
,100000,"0,000009",45254,0.012927391
,50000,"0,000002",2487,0.001162849
,100000,"0,000005",24836,0.009103611
,20000,"0,000005",954,8.63839E-4
,40000,2.25e-05,18089,0.004818989
,40000,1.75e-05,13846,0.003994816
,20000,"0,00004",8093,0.001731483
,40000,"0,000005",3982,0.001566603
,10000,"0,00008",3971,9.20381E-4
,40000,7.5e-06,5927,0.001915029
,10000,"0,00008",3940,7.56978E-4
,50000,"0,000008",9839,0.004223983
,50000,1.4e-05,17563,0.005289347
,100000,"0,000007",35062,0.010053354
,10000,"0,00008",3983,7.57946E-4
,50000,"0,000002",2473,0.00166191
,30000,2.66666666667e-05,11962,0.003020816
,40000,1.25e-05,10103,0.003197011
,30000,3.33333333333e-06,1452,0.001046369
,100000,"0,000003",15061,0.005333048
,10000,"0,00003",1464,5.78835E-4
,50000,1.8e-05,22520,0.007209864
,1000,0.0002,77,2.8519E-5
,30000,1.33333333333e-05,5934,0.001925117
,10000,"0,00005",2539,8.54196E-4
,50000,1.4e-05,17365,0.004746204
,1000,0.0001,57,3.1369E-5
,30000,6.66666666667e-06,3036,9.94187E-4
,5000,"0,00002",255,8.3867E-5
,40000,"0,00002",16061,0.004082108
,30000,2.33333333333e-05,10541,0.002599888
,100000,"0,000001",4997,0.004082214
,100000,"0,000001",5117,0.003784477
,5000,0.0001,1291,2.37087E-4
,5000,"0,00002",227,7.6973E-5
,30000,3.33333333333e-06,1561,6.69377E-4
,1000,0.0009,422,3.8207E-5
,40000,"0,00001",7918,0.002309208
,50000,"0,00001",12449,0.005121762
,10000,"0,00006",3023,5.98238E-4
,10000,"0,00001",483,2.29403E-4
,20000,"0,00002",3918,0.001221975
,30000,"0,00001",4531,0.001428991
,30000,1.66666666667e-05,7415,0.002170463
,50000,"0,000006",7443,0.002404187
,5000,0.00014,1676,3.45184E-4
,100,0.005,20,5.588E-6
,20000,2.5e-05,4922,0.001621674
,30000,2.66666666667e-05,11912,0.003320106
,30000,6.66666666667e-06,2855,0.001100458
,100000,"0,000002",10129,0.00391469
,10000,"0,00003",1483,4.74039E-4
,50000,"0,000006",7354,0.003018047
